Date,Close,HiddenState
2025-10-15,110783.1640625,3
2025-10-16,108186.0390625,1
2025-10-17,106467.7890625,0
2025-10-18,107198.265625,2
2025-10-19,108666.7109375,2
2025-10-20,110588.9296875,2
2025-10-21,108476.890625,2
2025-10-22,107688.5859375,2
2025-10-23,110069.7265625,2
2025-10-24,111033.921875,2
2025-10-25,111641.7265625,2
2025-10-26,114472.4453125,2
2025-10-27,114119.328125,2
2025-10-28,112956.1640625,2
2025-10-29,110055.3046875,2
2025-10-30,108305.546875,2
2025-10-31,109556.1640625,2
2025-11-01,110064.015625,2
2025-11-02,110639.625,2
2025-11-03,106547.5234375,2
2025-11-04,101590.5234375,2
2025-11-05,103891.8359375,2
2025-11-06,101301.2890625,2
2025-11-07,103372.40625,2
2025-11-08,102282.1171875,2
2025-11-09,104719.640625,2
2025-11-10,105996.59375,2
2025-11-11,102997.46875,2
2025-11-12,101663.1875,2
2025-11-13,99697.4921875,2
2025-11-14,94397.7890625,2
2025-11-15,95549.1484375,2
2025-11-16,94177.078125,2
2025-11-17,92093.875,2
2025-11-18,92948.875,2
2025-11-19,91465.9921875,2
2025-11-20,86631.8984375,2
2025-11-21,85090.6875,2
2025-11-22,84648.359375,2
2025-11-23,86805.0078125,2
2025-11-24,88270.5625,2
2025-11-25,87341.890625,2
2025-11-26,90518.3671875,2
2025-11-27,91285.375,2
2025-11-28,90919.265625,2
2025-11-29,90851.7578125,2
2025-11-30,90394.3125,2
2025-12-01,86321.5703125,2
2025-12-02,91350.203125,2
2025-12-03,93527.8046875,2
2025-12-04,92141.625,2
2025-12-05,89387.7578125,2
2025-12-06,89272.375,2
2025-12-07,90405.640625,2
2025-12-08,90640.203125,2
2025-12-09,92691.7109375,2
2025-12-10,92020.9453125,2
2025-12-11,92511.3359375,2
2025-12-12,90270.4140625,2
2025-12-14,90152.4375,2
