date,actual,predicted
2025-11-14,94397.7890625,95259.10918966531
2025-11-15,95549.1484375,89760.60086266398
2025-11-16,94177.078125,93037.99287437201
2025-11-17,92093.875,90104.68025598527
2025-11-18,92948.875,88726.6934107244
2025-11-19,91465.9921875,90162.99726270438
2025-11-20,86631.8984375,87919.57494697571
2025-11-21,85090.6875,83057.64773184061
2025-11-22,84648.359375,82759.58365955949
2025-11-23,86805.0078125,82193.31001989245
2025-11-24,88270.5625,84815.82683058978
2025-11-25,87341.890625,85755.2704643488
2025-11-26,90518.3671875,84500.63998882174
2025-11-27,91285.375,88601.20942654014
2025-11-28,90919.265625,88241.03711966277
2025-11-29,90851.7578125,88023.90727473497
2025-11-30,90394.3125,88013.32012942433
2025-12-01,86321.5703125,87455.01938539743
2025-12-02,91350.203125,82861.86759255528
2025-12-03,93527.8046875,90065.0421197474
2025-12-04,92141.625,90278.30717566014
2025-12-05,89387.7578125,88743.14847142101
2025-12-06,89272.375,86072.45477393866
2025-12-07,90405.640625,86748.74758318067
2025-12-08,90640.203125,87759.7775212288
2025-12-09,92691.7109375,87710.30482670665
2025-12-10,92020.9453125,90155.19412353635
2025-12-11,92511.3359375,88602.89567416311
2025-12-12,90270.4140625,89753.94075040818
2025-12-14,90152.4375,86722.42967145443
